"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"2134";"https://sinobas.aemet.es/index.php?pag=detal&rep=2134";"Jasolber";"";"2025-08-22";"15:45";"+/- 15 minutos";"2025-08-24";"Granizada Singular";"Alta";"38.838";"-0.614";"395";"Valencia";"Ontinyent";"Plaça Numero 6, 1887, 46870 Ontinyent, Valencia, España";"46870";"Zona norte del término municipal de Ontinyent (Valencia)";"La tormenta llegó procedente del Norte-Noroeste con fuerte viento y lluvia inicial, que dió paso a una potente granizada con granizos que iban aumentando de tamaño hasta llegar a unos 4-5 cm de grosor. La intensidad de la precipitación fue de 1.047,2 mm en 1 hora, con un registro de 23,6 mm en 10 minutos, según los datos de la estación meteorológica Ontinyent-Alt de Toledo, de la red de AVAMET, situado en el lugar de incidencia.";"NO";"NO";"Perforación de farolas, persianas, chapa y cristales de vehículos, daños en ventanas, puertas.";"Afectación a todo el arbolado, en especial, a los frutales, árboles de jardín de hoja caduca y algunas perennes (pinos, algarrobos, palmeras, etc.), huertas de hortalizas, frutas y verduras.";"";"";"";"Testigo del evento, Testigo de los daños, Fotos o videos del evento";"";"";"";"";"";"";"";"";"10 minutos";"";"";"";"";"";"";"";"Entre 4 y 5";"SD";"SD";"4";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2135";"https://sinobas.aemet.es/index.php?pag=detal&rep=2135";"GDStudios";"";"2025-08-24";"14:15";"+/- 15 minutos";"2025-08-24";"Tuba";"Baja";"36.784";"-4.719";"79";"Málaga";"Pizarra";"Partido rivera, s/n, 29560 Pizarra, Málaga, España";"29560";"Se produjo entre Zalea y Álora con un recorrido de 7,54 km";"El fenómeno vino asociado a un frente de tormentas que amenazó von dejar lluvias, antes de este fenómeno se levantó un poco de viento en un radio de 2 km de este como avisándome de ello, mientras tanto se dio a formar fuera de mi campo de visión y se acercaba ligeramente hacia el Noreste, no obstante se disolvió al verse afectado por las sierras cercanas obligando a expandirse convirtiéndose en una supercélula débil debido a una convergencia cercana, el LCL es bajo y se prevee que llegue a ser de 800 m conforme vayan pasando las horas y con una cizalladura de 80km/h aprox, no me era de extrañar que se diera aunque todavía estamos lejos del pico de riesgo que se dará a las 5:00 de la madrugada de mañana";"NO";"NO";"No hay datos";"No hay datos";"";"";"";"Testigo del evento, Fotos o videos del evento";"";"1";"";"";"";"";"";"";"5 minutos";"Lluvia ligera o moderada";"";"";"";"";"10%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2136";"https://sinobas.aemet.es/index.php?pag=detal&rep=2136";"egarciat";"AEMET";"2025-08-17";"20:00";"+/- 15 minutos";"2025-08-28";"Reventón Cálido";"Alta";"36.696";"-3.476";"0";"Granada";"Torrenueva";"MGWF+HJ Torrenueva, España";"18720";"El reventón cálido se produjo hacia las 20 h en la costa de Granada, notándose especialmente en las playas de Torrenueva y Carchuna, con una subida de la temperatura y rachas muy fuertes de viento.";"En la tarde del 17 de agosto de 2025, hacia las 20 h, se produjo un reventón térmico en la costa granadina, que afectó a varias playas en Salobreña, Motril y Castell del Ferro. Las más afectadas fueron las de Torrenueva y Carchuna. Fue el día álgido de la ola de calor de agosto, y aunque la costa granadina no tenía avisos activos por altas temperaturas, la fuerte insolación y el intenso calentamiento diurno desencadenaron convección que originó tormentas con poca precipitación en las cercanías de la zona. Un reventón térmico es una una corriente de aire descendente de una tormenta, acompañada de precipitación que, en su descenso, se va evaporando antes de llegar al suelo. La masa, al evaporarse el contenido de agua, se vuelve más pesada, se acelera y se comprime adiabáticamente, calentándose. Al chocar con la superficie se expande horizontalmente, generando fuertes rachas de viento.
En la costa granadina las temperaturas subieron 7ºC, llegando a los 40ºC, y las rachas de viento rondaron los 90 Km/h, generando el caos en las playas, que los usuarios comenzaron a desalojar rápidamente. La Guardia Civil y los equipos de Salvamento y Socorrismo tuvieron que rescatar del mar a unas 7 personas, que no podían volver a la orilla debido a las fuertes rachas de viento. No hubo que lamentar ningún herido. Algunos usuarios refieren haber visto una manga marina adentrarse en Torrenueva. Incluso la estación del Radiotelescopio de Sierra Nevada, a 41 Km al norte de la costa granadina, registró a la misma hora un pico de racha de 99 Km/h.";"NO";"SI";"Ramas rotas, cornisas levantadas, toldos arrancados, piscinas montables y sombrillas volando, cortes de luz puntuales.";"";"";"0";"0";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"SD";"SD";"90";"";"";"20 minutos";"";"SD";"SD";"SD";"SD";"";"+7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2143";"https://sinobas.aemet.es/index.php?pag=detal&rep=2143";"MeteOrihuela";"FrostSE";"2025-09-08";"17:15";"+/- 1 minuto";"2025-09-10";"Reventón / Frente de racha";"Alta";"38.141";"-0.887";"16";"Alicante";"Cox";"Plaza de la glorieta, Pl. Glorieta, 11, 03350 Cox, Alicante, España";"03350";"El “Reventón Húmedo“ afectó a varios municipios de la comarca de la Vega Baja del Segura: Benferri, Orihuela (Urbanización Montepinar, Polígono Industrial Puente Alto y extremo norte de la ciudad), Redován, Callosa de Segura, Albatera, Granja de Rocamora y Cox. He señalado como ubicación Cox por ser el municipio donde se alcanzó la racha máxima de viento, con un registro de 122 km/h.";"En las primeras horas de la tarde del lunes 8 de septiembre de 2025, una línea de tormentas gestada en el interior de la Región de Murcia fue avanzando de oeste a este, adentrándose minutos antes de las 17:00 horas por el interior de la comarca de la Vega Baja del Segura. Precisamente, en ese momento, la parte más meridional del núcleo convectivo sufrió un reforzamiento repentino muy destacado, pasando de reflectividades de 36-42 dBZ a 48-60 dBZ, dando lugar a un “Reventón Húmedo”. En su recorrido, afectó especialmente a Benferri, Orihuela (Urbanización Montepinar, Polígono Industrial Puente Alto y extremo norte de la ciudad), Redován, Callosa de Segura, Albatera, Granja de Rocamora y Cox. Se registró precipitación con picos de intensidad torrencial, rachas de viento de más de 100 km/h, granizo menudo, y un extraordinario descenso de las temperaturas (bajada brusca de hasta 11ºC en algunos observatorios).";"NO";"NO";"Derribo de muros, marquesinas y pérgolas; caída de cascotes, barandillas, antenas de telefonía y postes de cableado de luz; voladura de tejas; rotura de persianas, entrada de agua en garajes y viviendas, etc.";"Caída de al menos una veintena de árboles de grandes dimensiones, algunos de ellos centenarios, localizados sobre todo en la Carretera N-340 entre Orihuela y el Barrio San Carlos y la Carretera CV-900 entre Orihuela y Redován";"";"";"0";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"EF0: 105-137 km/h";"T2: 116-147 km/h";"122";"";"";"20 minutos";"Lluvia fuerte, Granizo pequeño (&lt;0,5 cm.), Tormenta";"Entre 9 y 10 km";"3,5 km";"Mayor que 4 km";"oeste a este";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"122";"";"";"";""
"2145";"https://sinobas.aemet.es/index.php?pag=detal&rep=2145";"Gutarb";"ACAM";"2025-09-10";"13:05";"+/- 1 minuto";"2025-09-10";"Tuba";"Alta";"41.896";"3.202";"153";"Girona";"Llafranc";"Carrer de l'Uruguai, 87, 17211 Llafranc, Girona, España";"17211";"Sitúo el fenómeno en el faro de del Cap de Sant Sebastià, pero el fenómeno estaba 2 millas en frente, justo en el sur del límite del cañón submarino de Palamós";"Navegando con embarcación de los agents rurals de la Generalitat observamos una tuba al sur del límite sur del cañon submarino de Palamós, estimamos que frente al Cap de Sant Sebastià, Girona";"NO";"NO";"Ninguno";"NInguno";"0";"0";"0";"Testigo del evento, Fotos o videos del evento";"";"1";"";"";"";"";"";"";"5 minutos";"Sin Precipitación";"";"";"";"";"50%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2149";"https://sinobas.aemet.es/index.php?pag=detal&rep=2149";"GDStudios";"";"2025-09-20";"21:40";"+/- 1 minuto";"2025-09-21";"Tuba";"No Validado";"42.558";"-2.136";"471";"Navarra";"Los Arcos";"HV57+2F Los Arcos, España";"31210";"El fenómeno se produjo en zonas agrarias cercanas a la localidad de Los Arcos";"El fenómeno sucedió durante un episodio de tormentas virulentas en la que el equipo entero con 3 ocupantes grabamos la tormenta, desde formaciones peculiares de lluvia fuerte a incluso un semi-tornado, del que nos dimos cuenta cuando ya estábamos editando el vídeo, teníamos cogidos unos 90-180 grados de cámara grabando varios puntos de la tormenta, por lo que en el caso mostrado, al final de este vídeo se observa el fenómeno cuya formación parece ser obvia, como si el cielo se cayera, no sabemos los daños, dado que solo grabamos unos segundos y no sabemos si llegó a tocar tierra o si ocasionó daños materiales o forestales";"NO";"NO";"Se desconoce";"Se desconoce";"";"";"";"Testigo del evento, Informado por un testigo del evento, Fotos o videos del evento";"";"1";"";"";"";"";"";"";"5 minutos";"Lluvia fuerte, Granizo pequeño (&lt;0,5 cm.), Tormenta";"";"";"";"";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2150";"https://sinobas.aemet.es/index.php?pag=detal&rep=2150";"oierseoanerubio";"";"2025-09-19";"21:50";"+/- 5 minutos";"2025-09-23";"Reventón / Frente de racha";"Imposible de validar";"43.063";"-2.486";"224";"Gipuzkoa";"Arrasate / Mondragón";"Aprendices Kalea, 4, 20500 Arrasate / Mondragón, Gipuzkoa, España";"20500";"Arrasate/Mondragón, Gipuzkoa, País Vasco, España";"Debido a la fuerte influencia causada por la aproximación de una vaguada muy pronunciada, mientras esta entraba por Galicia, por su parte delantera levantaba una dorsal anticiclónica muy potente con isos de 20-24 grados a 850hpa ( unos 1500 metros de altura ), debido también a los vientos del sur o suroeste causados por la interacción de la misma, en las provincias de la vertiente cantábrica como consecuencia del efecto Föhn, es por ello por lo que las temperaturas máximas alcanzaron valores de entre 35-38 grados en el interior tanto de Bizkaia como de Gipuzkoa, durante la tarde empezó a entrar nubosidad de evolución de base alta, que al entrar al mar dejaba algunas precipitaciones acompañadas de aparato eléctrico, sobre las 20:00 entraba una tormenta fuerte por la provincia de Álava a Gipuzkoa que acabo deshaciéndose en la costa occidental de Gipuzkoa, mas tarde se forman mas tormentas en Álava que avanzan de sur a norte y que adquieren cierta organización formando algo parecido a una línea de turbonada, se parecía mas a un tren convectivo que a una línea de turbonada, debido a toda la energía disponible, la tormenta exploto hasta alcanzar ecotops de hasta 14-16km, en el interior de &gt;Gipuzkoa, como consecuencia hubo un reventón con rachas muy fuertes de viento, en otras zonas cercanas el reventón fue seco dándose un ascenso de las temperaturas de entre 6-8 grados como es el caso de Elgoibar.";"NO";"NO";"Algún árbol caído y algunas ramas rotas por el viento";"Algún árbol caído y algunas ramas rotas por el viento";"0";"0";"0";"Informado por un testigo del evento, Informado por un testigo de los daños, Fotos o videos del evento, Fotos o videos de los daños";"";"";"Vórtice de racha";"SD";"T1: 87-115 km/h";"100";"";"";"10 minutos";"Lluvia fuerte, Granizo pequeño (&lt;0,5 cm.), Polvo o arena levantado por el viento, Tormenta";"SD";"SD";"SD";"sur a norte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2151";"https://sinobas.aemet.es/index.php?pag=detal&rep=2151";"jgordalizab";"AEMET";"2025-09-19";"17:10";"+/- 5 minutos";"2025-09-23";"Reventón / Frente de racha";"Alta";"41.641";"-4.755";"734";"Valladolid";"Valladolid";"Centro Meteorológico, C. Orión, 1, 47014 Valladolid, España";"47014";"En la ciudad de Valladolid; los datos y gráficas adjuntos pertenecen al observatorio meteorológico de AEMET en el barrio de Parquesol donde está la Delegación de AEMET en Castilla y León.";"Se observan células tormentosas con gran aparato eléctrico que se dirigen de sur a norte atravesando la ciudad de Valladolid. Datos significativos: 87 km/h de racha máxima, 11,0 litros/m2 en 10 minutos, 16 litros/m2 en una hora";"NO";"NO";"coches por caída de árboles y pequeñas inundaciones en la ciudad";"";"";"";"";"Información en los medios, Información en sitios webs";"";"";"";"SD";"SD";"87";"";"";"30 minutos";"Lluvia fuerte";"SD";"SD";"SD";"sur a norte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2152";"https://sinobas.aemet.es/index.php?pag=detal&rep=2152";"LeoDelgado";"AEMET";"2025-08-21";"07:30";"+/- 1 minuto";"2025-09-24";"Precipitación Súbita Torrencial";"Alta";"43.430";"-3.836";"1";"Cantabria";"Maliaño";"Polígono Camargo, 5, 39600 Maliaño, Cantabria, España";"39600";"Afectó principalmente a la bahía de Santander, especialmente en la zona oriental del municipio de Camargo.";"Se registró intensidad torrencial y se acumuló en 1 hora más de 60 mm. La troposfera se encontraba saturada en niveles bajos y medios con vientos de componente noroeste. Una línea de inestabilidad interaccionó con la orografía, desarrollándose convección embebida entre precipitación estratiforme. Sin embargo, esta convección no llego a ser muy profunda debido a una inversión térmica causada por una masa de aire más cálida y seca en torno a los 4500 metros de altitud. 

Este episodio se ajusta al modelo conceptual conocido como lluvia cálida en el que prácticamente toda la nubosidad se encuentra en fase líquida, de forma que las altas intensidades de precipitación pasan desapercibidas en los satélites y radares meteorológicos.";"NO";"NO";"Coches, garajes";"";"";"";"";"Fotos o videos del evento, Informe por un meteorólogo profesional";"";"";"";"";"";"";"";"";"120 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"75";"06:30";"";"17";"";"";"66";"";"79";"No";"Sólo lluvia";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2153";"https://sinobas.aemet.es/index.php?pag=detal&rep=2153";"jprodriguezg";"";"2025-09-24";"07:30";"+/- 5 minutos";"2025-09-24";"Tornado / Tromba Marina";"Alta";"39.720";"3.484";"0";"Illes Balears";"Cala Gat";"PFCM+2H Cala Gat, España";"07590";"";"Se ha observado a través de webcam una manga marina en las proximidades de una zona afectada por un chubasco.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"4 minutos";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
